Sr.No,Ticket Ref ID,Category,Sub Category,Description,Created Date,Updated Date,Status,Remark
633,TKT-000633,Account Issue,Access Rights,Customer reported problem with access rights functionality,2025-08-26 00:00:00,2025-09-04 00:00:00,Raised,Duplicate ticket
634,TKT-000634,Performance,Slow Response,System error related to slow response component,2025-01-07 00:00:00,2025-05-15 00:00:00,Processing,Resolved successfully
635,TKT-000635,Integration,Third Party,Unable to access third party features properly,2024-05-23 00:00:00,2025-01-06 00:00:00,Raised,Escalated to technical team
636,TKT-000636,Integration,Third Party,System error related to third party component,2025-01-02 00:00:00,2025-01-12 00:00:00,Raised,Duplicate ticket
637,TKT-000637,Bug Report,UI Bug,Request for ui bug support and guidance,2025-01-13 00:00:00,2025-03-13 00:00:00,Processing,Resolved successfully
638,TKT-000638,Performance,High CPU,System error related to high cpu component,2025-04-25 00:00:00,2025-08-19 00:00:00,Processing,In progress
639,TKT-000639,Account Issue,Login Problem,Unable to access login problem features properly,2024-10-07 00:00:00,2025-02-18 00:00:00,Raised,Closed as per customer request
640,TKT-000640,Payment Issue,Duplicate Charge,Unable to access duplicate charge features properly,2024-03-20 00:00:00,2025-08-31 00:00:00,Resolved,Closed as per customer request
641,TKT-000641,Bug Report,Security Bug,Request for security bug support and guidance,2024-12-19 00:00:00,2025-08-25 00:00:00,Rejected,In progress
642,TKT-000642,Performance,Timeout,System error related to timeout component,2024-06-18 00:00:00,2024-10-13 00:00:00,Processing,Invalid request
643,TKT-000643,Feature Request,Enhancement,Customer reported problem with enhancement functionality,2024-07-10 00:00:00,2024-09-28 00:00:00,Resolved,Awaiting customer response
644,TKT-000644,Bug Report,Security Bug,Request for security bug support and guidance,2024-04-26 00:00:00,2024-12-28 00:00:00,Rejected,Duplicate ticket
645,TKT-000645,Bug Report,Functional Bug,System error related to functional bug component,2024-01-23 00:00:00,2024-09-28 00:00:00,Processing,Escalated to technical team
646,TKT-000646,Integration,Third Party,Customer reported problem with third party functionality,2025-06-08 00:00:00,2025-06-13 00:00:00,Raised,In progress
647,TKT-000647,General Inquiry,Documentation,Customer reported problem with documentation functionality,2025-06-13 00:00:00,2025-08-03 00:00:00,Processing,Pending review
648,TKT-000648,Billing,Payment Failed,System error related to payment failed component,2025-04-27 00:00:00,2025-08-28 00:00:00,Raised,Resolved successfully
649,TKT-000649,Payment Issue,Transaction Failed,Unable to access transaction failed features properly,2024-07-05 00:00:00,2025-05-20 00:00:00,Resolved,Escalated to technical team
650,TKT-000650,Account Issue,Access Rights,Unable to access access rights features properly,2025-08-27 00:00:00,2025-08-29 00:00:00,Raised,Closed as per customer request
651,TKT-000651,Payment Issue,Transaction Failed,Issue with transaction failed requiring immediate attention,2024-01-17 00:00:00,2024-08-11 00:00:00,Rejected,Escalated to technical team
652,TKT-000652,Integration,API Error,Customer reported problem with api error functionality,2025-05-02 00:00:00,2025-05-11 00:00:00,Processing,Awaiting customer response
653,TKT-000653,Security,Data Breach,Unable to access data breach features properly,2025-07-06 00:00:00,2025-07-06 00:00:00,Rejected,Invalid request
654,TKT-000654,Payment Issue,Duplicate Charge,Issue with duplicate charge requiring immediate attention,2025-06-26 00:00:00,2025-08-19 00:00:00,Raised,Duplicate ticket
655,TKT-000655,Payment Issue,Duplicate Charge,Unable to access duplicate charge features properly,2025-08-12 00:00:00,2025-08-18 00:00:00,Rejected,Escalated to technical team
656,TKT-000656,Feature Request,API,Customer reported problem with api functionality,2024-03-26 00:00:00,2025-01-10 00:00:00,Rejected,Pending review
657,TKT-000657,Bug Report,UI Bug,Issue with ui bug requiring immediate attention,2025-08-14 00:00:00,2025-08-30 00:00:00,Processing,Invalid request
658,TKT-000658,Technical Support,Configuration,Customer reported problem with configuration functionality,2024-11-19 00:00:00,2025-06-16 00:00:00,Resolved,Awaiting customer response
659,TKT-000659,General Inquiry,Training,Unable to access training features properly,2024-09-16 00:00:00,2025-01-27 00:00:00,Rejected,Additional information required
660,TKT-000660,Integration,Data Sync,System error related to data sync component,2024-07-27 00:00:00,2025-02-23 00:00:00,Rejected,Escalated to technical team
661,TKT-000661,Account Issue,Access Rights,Request for access rights support and guidance,2024-11-10 00:00:00,2025-09-01 00:00:00,Resolved,Closed as per customer request
662,TKT-000662,General Inquiry,Product Info,Customer reported problem with product info functionality,2025-04-02 00:00:00,2025-05-13 00:00:00,Processing,Resolved successfully
663,TKT-000663,Performance,Memory Issue,Request for memory issue support and guidance,2025-07-17 00:00:00,2025-08-25 00:00:00,Processing,Escalated to technical team
664,TKT-000664,Payment Issue,Card Declined,Issue with card declined requiring immediate attention,2024-05-28 00:00:00,2025-01-24 00:00:00,Rejected,Awaiting customer response
665,TKT-000665,Billing,Refund Request,Customer reported problem with refund request functionality,2025-01-14 00:00:00,2025-02-03 00:00:00,Processing,Closed as per customer request
666,TKT-000666,Payment Issue,Duplicate Charge,Unable to access duplicate charge features properly,2024-02-28 00:00:00,2024-08-25 00:00:00,Rejected,Duplicate ticket
667,TKT-000667,Technical Support,Software,Unable to access software features properly,2024-10-19 00:00:00,2025-01-26 00:00:00,Processing,Invalid request
668,TKT-000668,Performance,Timeout,Unable to access timeout features properly,2024-06-22 00:00:00,2025-06-02 00:00:00,Processing,Additional information required
669,TKT-000669,Bug Report,UI Bug,Customer reported problem with ui bug functionality,2024-03-29 00:00:00,2025-01-05 00:00:00,Rejected,Additional information required
670,TKT-000670,Payment Issue,Currency Issue,Unable to access currency issue features properly,2024-07-24 00:00:00,2025-04-15 00:00:00,Processing,Awaiting customer response
671,TKT-000671,Billing,Refund Request,Unable to access refund request features properly,2025-08-19 00:00:00,2025-08-30 00:00:00,Resolved,Pending review
672,TKT-000672,Bug Report,Functional Bug,System error related to functional bug component,2025-02-17 00:00:00,2025-07-14 00:00:00,Processing,Pending review
673,TKT-000673,General Inquiry,Training,Unable to access training features properly,2024-04-19 00:00:00,2024-07-02 00:00:00,Resolved,Additional information required
674,TKT-000674,Billing,Refund Request,Unable to access refund request features properly,2025-08-11 00:00:00,2025-08-27 00:00:00,Rejected,Closed as per customer request
675,TKT-000675,Integration,Webhook,Customer reported problem with webhook functionality,2024-12-13 00:00:00,2025-08-04 00:00:00,Rejected,In progress
676,TKT-000676,Security,Unauthorized Access,Request for unauthorized access support and guidance,2024-03-10 00:00:00,2025-04-05 00:00:00,Raised,Resolved successfully
677,TKT-000677,Account Issue,Access Rights,Request for access rights support and guidance,2025-06-12 00:00:00,2025-08-19 00:00:00,Processing,Pending review
678,TKT-000678,Bug Report,Performance Bug,Issue with performance bug requiring immediate attention,2025-02-12 00:00:00,2025-08-03 00:00:00,Resolved,Awaiting customer response
679,TKT-000679,Performance,Timeout,System error related to timeout component,2024-11-17 00:00:00,2025-05-17 00:00:00,Raised,Pending review
680,TKT-000680,General Inquiry,Service Query,System error related to service query component,2024-07-23 00:00:00,2024-11-20 00:00:00,Raised,Pending review
681,TKT-000681,Bug Report,Functional Bug,Customer reported problem with functional bug functionality,2024-09-12 00:00:00,2025-07-25 00:00:00,Resolved,Escalated to technical team
682,TKT-000682,Billing,Invoice Issue,Issue with invoice issue requiring immediate attention,2025-05-19 00:00:00,2025-08-05 00:00:00,Processing,Invalid request
683,TKT-000683,Technical Support,Configuration,Request for configuration support and guidance,2024-11-18 00:00:00,2025-07-28 00:00:00,Resolved,Duplicate ticket
684,TKT-000684,General Inquiry,Documentation,System error related to documentation component,2024-08-15 00:00:00,2025-09-03 00:00:00,Raised,In progress
685,TKT-000685,Performance,Memory Issue,System error related to memory issue component,2025-07-07 00:00:00,2025-07-11 00:00:00,Resolved,Closed as per customer request
686,TKT-000686,General Inquiry,Training,Issue with training requiring immediate attention,2025-06-14 00:00:00,2025-08-11 00:00:00,Resolved,In progress
687,TKT-000687,Technical Support,Software,System error related to software component,2025-08-17 00:00:00,2025-08-20 00:00:00,Resolved,Additional information required
688,TKT-000688,Integration,Data Sync,Customer reported problem with data sync functionality,2025-07-15 00:00:00,2025-07-31 00:00:00,Raised,Pending review
689,TKT-000689,Security,Suspicious Activity,Request for suspicious activity support and guidance,2024-07-07 00:00:00,2025-03-19 00:00:00,Rejected,Resolved successfully
690,TKT-000690,Payment Issue,Duplicate Charge,Request for duplicate charge support and guidance,2025-02-14 00:00:00,2025-04-26 00:00:00,Rejected,Escalated to technical team
691,TKT-000691,Integration,Third Party,Unable to access third party features properly,2024-08-22 00:00:00,2024-10-12 00:00:00,Resolved,Resolved successfully
692,TKT-000692,Performance,Memory Issue,System error related to memory issue component,2024-07-19 00:00:00,2024-10-01 00:00:00,Raised,Duplicate ticket
693,TKT-000693,Technical Support,Software,System error related to software component,2025-05-26 00:00:00,2025-06-12 00:00:00,Resolved,Duplicate ticket
694,TKT-000694,Feature Request,Integration,Unable to access integration features properly,2025-08-04 00:00:00,2025-08-07 00:00:00,Rejected,Awaiting customer response
695,TKT-000695,General Inquiry,Product Info,Customer reported problem with product info functionality,2024-09-17 00:00:00,2025-05-18 00:00:00,Processing,Duplicate ticket
696,TKT-000696,Account Issue,Profile Update,Request for profile update support and guidance,2025-01-03 00:00:00,2025-05-26 00:00:00,Resolved,Additional information required
697,TKT-000697,Technical Support,Configuration,Issue with configuration requiring immediate attention,2024-12-25 00:00:00,2025-04-05 00:00:00,Raised,Pending review
698,TKT-000698,Account Issue,Profile Update,Unable to access profile update features properly,2025-05-14 00:00:00,2025-08-21 00:00:00,Rejected,Awaiting customer response
699,TKT-000699,Payment Issue,Duplicate Charge,System error related to duplicate charge component,2024-05-28 00:00:00,2025-08-15 00:00:00,Raised,Additional information required
700,TKT-000700,Payment Issue,Currency Issue,Issue with currency issue requiring immediate attention,2024-03-22 00:00:00,2024-09-03 00:00:00,Resolved,Resolved successfully
701,TKT-000701,Account Issue,Profile Update,Request for profile update support and guidance,2024-09-30 00:00:00,2025-08-05 00:00:00,Rejected,Pending review
702,TKT-000702,Security,Suspicious Activity,Unable to access suspicious activity features properly,2025-06-17 00:00:00,2025-08-13 00:00:00,Rejected,Escalated to technical team
703,TKT-000703,General Inquiry,Product Info,Customer reported problem with product info functionality,2024-08-28 00:00:00,2025-08-01 00:00:00,Resolved,Awaiting customer response
704,TKT-000704,Bug Report,Functional Bug,System error related to functional bug component,2024-04-15 00:00:00,2024-07-21 00:00:00,Processing,Duplicate ticket
705,TKT-000705,Performance,Slow Response,Issue with slow response requiring immediate attention,2025-02-10 00:00:00,2025-06-24 00:00:00,Processing,Awaiting customer response
706,TKT-000706,Feature Request,Enhancement,Issue with enhancement requiring immediate attention,2025-02-03 00:00:00,2025-04-23 00:00:00,Raised,Resolved successfully
707,TKT-000707,Feature Request,API,Customer reported problem with api functionality,2024-05-14 00:00:00,2025-02-07 00:00:00,Raised,In progress
708,TKT-000708,Technical Support,Network,Request for network support and guidance,2025-05-02 00:00:00,2025-08-29 00:00:00,Resolved,Invalid request
709,TKT-000709,Security,Data Breach,Unable to access data breach features properly,2024-06-30 00:00:00,2025-04-28 00:00:00,Rejected,Closed as per customer request
710,TKT-000710,Performance,High CPU,Request for high cpu support and guidance,2025-05-08 00:00:00,2025-07-05 00:00:00,Processing,Duplicate ticket
711,TKT-000711,Feature Request,Integration,System error related to integration component,2024-09-23 00:00:00,2024-12-11 00:00:00,Resolved,In progress
712,TKT-000712,Technical Support,Software,Request for software support and guidance,2024-10-20 00:00:00,2025-06-17 00:00:00,Processing,Duplicate ticket
713,TKT-000713,Security,Suspicious Activity,Issue with suspicious activity requiring immediate attention,2025-03-16 00:00:00,2025-05-29 00:00:00,Raised,In progress
714,TKT-000714,Performance,High CPU,Customer reported problem with high cpu functionality,2025-02-25 00:00:00,2025-07-18 00:00:00,Rejected,Closed as per customer request
715,TKT-000715,Bug Report,Functional Bug,System error related to functional bug component,2025-01-22 00:00:00,2025-03-19 00:00:00,Resolved,Awaiting customer response
716,TKT-000716,Payment Issue,Transaction Failed,Unable to access transaction failed features properly,2024-10-05 00:00:00,2025-02-27 00:00:00,Resolved,Closed as per customer request
717,TKT-000717,Bug Report,UI Bug,Customer reported problem with ui bug functionality,2024-05-19 00:00:00,2024-10-14 00:00:00,Processing,Duplicate ticket
718,TKT-000718,Integration,Webhook,Request for webhook support and guidance,2025-05-18 00:00:00,2025-06-11 00:00:00,Resolved,In progress
719,TKT-000719,General Inquiry,Product Info,Unable to access product info features properly,2024-01-23 00:00:00,2024-07-31 00:00:00,Processing,Pending review
720,TKT-000720,Feature Request,Enhancement,System error related to enhancement component,2024-01-09 00:00:00,2024-09-03 00:00:00,Processing,Escalated to technical team
721,TKT-000721,Technical Support,Configuration,Customer reported problem with configuration functionality,2024-12-16 00:00:00,2025-07-19 00:00:00,Resolved,Duplicate ticket
722,TKT-000722,Account Issue,Access Rights,Issue with access rights requiring immediate attention,2024-12-04 00:00:00,2025-01-14 00:00:00,Raised,In progress
723,TKT-000723,Feature Request,API,Issue with api requiring immediate attention,2025-07-10 00:00:00,2025-09-08 00:00:00,Raised,Resolved successfully
724,TKT-000724,Feature Request,API,Issue with api requiring immediate attention,2024-05-04 00:00:00,2025-06-01 00:00:00,Raised,Closed as per customer request
725,TKT-000725,Security,Data Breach,Issue with data breach requiring immediate attention,2024-07-22 00:00:00,2025-03-14 00:00:00,Processing,Invalid request
726,TKT-000726,Bug Report,Security Bug,System error related to security bug component,2024-11-15 00:00:00,2025-04-29 00:00:00,Raised,In progress
727,TKT-000727,Performance,Slow Response,Request for slow response support and guidance,2025-05-07 00:00:00,2025-07-22 00:00:00,Raised,Additional information required
728,TKT-000728,Technical Support,Software,Issue with software requiring immediate attention,2024-08-29 00:00:00,2025-07-19 00:00:00,Rejected,Additional information required
729,TKT-000729,Technical Support,Software,Request for software support and guidance,2025-08-21 00:00:00,2025-08-24 00:00:00,Rejected,Resolved successfully
730,TKT-000730,Technical Support,Hardware,Unable to access hardware features properly,2025-05-01 00:00:00,2025-06-09 00:00:00,Resolved,Awaiting customer response
731,TKT-000731,Bug Report,Functional Bug,System error related to functional bug component,2024-04-03 00:00:00,2025-03-15 00:00:00,Processing,In progress
732,TKT-000732,Account Issue,Password Reset,Unable to access password reset features properly,2024-04-19 00:00:00,2024-08-25 00:00:00,Rejected,Resolved successfully
733,TKT-000733,Account Issue,Profile Update,System error related to profile update component,2024-07-16 00:00:00,2024-07-26 00:00:00,Rejected,Additional information required
734,TKT-000734,General Inquiry,Documentation,Issue with documentation requiring immediate attention,2025-05-11 00:00:00,2025-08-09 00:00:00,Rejected,Invalid request
735,TKT-000735,Feature Request,API,Customer reported problem with api functionality,2025-08-03 00:00:00,2025-08-14 00:00:00,Resolved,Additional information required
736,TKT-000736,Security,Suspicious Activity,Unable to access suspicious activity features properly,2025-07-21 00:00:00,2025-07-31 00:00:00,Processing,Invalid request
737,TKT-000737,General Inquiry,Training,Request for training support and guidance,2024-09-26 00:00:00,2025-06-30 00:00:00,Resolved,Duplicate ticket
738,TKT-000738,Technical Support,Configuration,Customer reported problem with configuration functionality,2024-01-20 00:00:00,2025-01-26 00:00:00,Raised,Additional information required
739,TKT-000739,Billing,Pricing Query,Customer reported problem with pricing query functionality,2025-06-20 00:00:00,2025-08-22 00:00:00,Raised,Pending review
740,TKT-000740,Account Issue,Access Rights,Request for access rights support and guidance,2024-04-23 00:00:00,2024-06-11 00:00:00,Processing,In progress
741,TKT-000741,General Inquiry,Service Query,Issue with service query requiring immediate attention,2024-07-25 00:00:00,2024-09-17 00:00:00,Rejected,Resolved successfully
742,TKT-000742,Billing,Invoice Issue,Unable to access invoice issue features properly,2025-02-01 00:00:00,2025-07-19 00:00:00,Rejected,Invalid request
743,TKT-000743,Integration,Data Sync,Issue with data sync requiring immediate attention,2025-01-10 00:00:00,2025-03-07 00:00:00,Processing,In progress
744,TKT-000744,Bug Report,Security Bug,Issue with security bug requiring immediate attention,2025-04-24 00:00:00,2025-05-09 00:00:00,Resolved,Invalid request
745,TKT-000745,Payment Issue,Duplicate Charge,Issue with duplicate charge requiring immediate attention,2024-09-29 00:00:00,2025-06-26 00:00:00,Processing,Awaiting customer response
746,TKT-000746,Feature Request,New Feature,Customer reported problem with new feature functionality,2025-06-15 00:00:00,2025-06-27 00:00:00,Processing,Resolved successfully
747,TKT-000747,Performance,Memory Issue,Customer reported problem with memory issue functionality,2024-07-16 00:00:00,2025-04-11 00:00:00,Raised,Escalated to technical team
748,TKT-000748,Performance,Memory Issue,Issue with memory issue requiring immediate attention,2025-08-13 00:00:00,2025-08-24 00:00:00,Rejected,Closed as per customer request
749,TKT-000749,Billing,Payment Failed,Customer reported problem with payment failed functionality,2025-07-17 00:00:00,2025-08-11 00:00:00,Resolved,Escalated to technical team
750,TKT-000750,Performance,Memory Issue,Request for memory issue support and guidance,2024-11-18 00:00:00,2025-08-26 00:00:00,Resolved,Additional information required
751,TKT-000751,Payment Issue,Currency Issue,Request for currency issue support and guidance,2024-09-03 00:00:00,2025-06-18 00:00:00,Raised,Closed as per customer request
752,TKT-000752,Performance,High CPU,Request for high cpu support and guidance,2025-04-08 00:00:00,2025-07-31 00:00:00,Rejected,In progress
753,TKT-000753,Technical Support,Network,Unable to access network features properly,2024-01-17 00:00:00,2025-06-30 00:00:00,Raised,Pending review
754,TKT-000754,Technical Support,Network,Customer reported problem with network functionality,2024-08-07 00:00:00,2025-01-15 00:00:00,Processing,Pending review
755,TKT-000755,Performance,Timeout,Issue with timeout requiring immediate attention,2024-02-08 00:00:00,2025-05-24 00:00:00,Resolved,Escalated to technical team
756,TKT-000756,General Inquiry,Documentation,Request for documentation support and guidance,2025-08-19 00:00:00,2025-08-26 00:00:00,Raised,Pending review
757,TKT-000757,Feature Request,New Feature,Unable to access new feature features properly,2025-02-13 00:00:00,2025-07-08 00:00:00,Raised,Awaiting customer response
758,TKT-000758,Account Issue,Access Rights,Customer reported problem with access rights functionality,2025-05-14 00:00:00,2025-08-27 00:00:00,Processing,Pending review
759,TKT-000759,Technical Support,Configuration,Issue with configuration requiring immediate attention,2024-02-27 00:00:00,2025-02-03 00:00:00,Resolved,Closed as per customer request
760,TKT-000760,Payment Issue,Card Declined,Customer reported problem with card declined functionality,2025-09-08 00:00:00,2025-09-08 00:00:00,Rejected,In progress
761,TKT-000761,Feature Request,New Feature,Request for new feature support and guidance,2025-07-06 00:00:00,2025-07-25 00:00:00,Resolved,Invalid request
762,TKT-000762,Bug Report,Functional Bug,Issue with functional bug requiring immediate attention,2025-02-06 00:00:00,2025-05-31 00:00:00,Processing,Resolved successfully
763,TKT-000763,Payment Issue,Duplicate Charge,System error related to duplicate charge component,2024-05-31 00:00:00,2024-08-06 00:00:00,Resolved,Awaiting customer response
764,TKT-000764,Security,Unauthorized Access,Unable to access unauthorized access features properly,2025-02-12 00:00:00,2025-04-20 00:00:00,Processing,Closed as per customer request
765,TKT-000765,Performance,Memory Issue,Customer reported problem with memory issue functionality,2024-05-18 00:00:00,2025-01-19 00:00:00,Raised,Duplicate ticket
766,TKT-000766,Payment Issue,Transaction Failed,Unable to access transaction failed features properly,2025-06-20 00:00:00,2025-07-21 00:00:00,Raised,Awaiting customer response
767,TKT-000767,Feature Request,API,Request for api support and guidance,2025-08-12 00:00:00,2025-08-17 00:00:00,Processing,Closed as per customer request
768,TKT-000768,Payment Issue,Duplicate Charge,Request for duplicate charge support and guidance,2024-07-14 00:00:00,2024-12-25 00:00:00,Resolved,In progress
769,TKT-000769,Feature Request,Enhancement,Request for enhancement support and guidance,2025-03-28 00:00:00,2025-09-03 00:00:00,Raised,Duplicate ticket
770,TKT-000770,Technical Support,Software,Customer reported problem with software functionality,2025-01-17 00:00:00,2025-02-25 00:00:00,Processing,Awaiting customer response
771,TKT-000771,Technical Support,Software,Unable to access software features properly,2024-05-31 00:00:00,2025-08-18 00:00:00,Resolved,In progress
772,TKT-000772,Account Issue,Login Problem,Request for login problem support and guidance,2025-04-05 00:00:00,2025-08-03 00:00:00,Processing,Additional information required
773,TKT-000773,Bug Report,Functional Bug,Customer reported problem with functional bug functionality,2025-07-13 00:00:00,2025-08-15 00:00:00,Resolved,Invalid request
774,TKT-000774,Security,Data Breach,Issue with data breach requiring immediate attention,2025-01-20 00:00:00,2025-06-18 00:00:00,Processing,Pending review
775,TKT-000775,General Inquiry,Product Info,Request for product info support and guidance,2024-07-24 00:00:00,2025-09-01 00:00:00,Resolved,In progress
776,TKT-000776,Security,Unauthorized Access,Issue with unauthorized access requiring immediate attention,2025-02-01 00:00:00,2025-07-20 00:00:00,Resolved,Additional information required
777,TKT-000777,Billing,Invoice Issue,Request for invoice issue support and guidance,2025-01-30 00:00:00,2025-03-30 00:00:00,Rejected,Invalid request
778,TKT-000778,Billing,Refund Request,System error related to refund request component,2025-09-03 00:00:00,2025-09-11 00:00:00,Processing,Escalated to technical team
779,TKT-000779,Bug Report,Security Bug,Unable to access security bug features properly,2024-01-23 00:00:00,2024-03-03 00:00:00,Raised,Invalid request
780,TKT-000780,Feature Request,Integration,System error related to integration component,2025-02-06 00:00:00,2025-08-15 00:00:00,Raised,In progress
781,TKT-000781,Account Issue,Profile Update,Request for profile update support and guidance,2024-11-05 00:00:00,2025-03-05 00:00:00,Resolved,In progress
782,TKT-000782,Feature Request,API,Issue with api requiring immediate attention,2025-07-22 00:00:00,2025-08-08 00:00:00,Raised,Escalated to technical team
783,TKT-000783,Account Issue,Access Rights,Customer reported problem with access rights functionality,2024-03-30 00:00:00,2025-04-25 00:00:00,Raised,Closed as per customer request
784,TKT-000784,Bug Report,Functional Bug,System error related to functional bug component,2024-11-15 00:00:00,2025-05-02 00:00:00,Rejected,Invalid request
785,TKT-000785,General Inquiry,Service Query,Customer reported problem with service query functionality,2025-08-17 00:00:00,2025-09-03 00:00:00,Raised,Escalated to technical team
786,TKT-000786,Feature Request,Enhancement,System error related to enhancement component,2024-05-28 00:00:00,2025-04-28 00:00:00,Raised,Additional information required
787,TKT-000787,Billing,Invoice Issue,Customer reported problem with invoice issue functionality,2024-11-21 00:00:00,2025-02-03 00:00:00,Processing,Additional information required
788,TKT-000788,Payment Issue,Currency Issue,Request for currency issue support and guidance,2025-03-29 00:00:00,2025-09-08 00:00:00,Resolved,Escalated to technical team
789,TKT-000789,Bug Report,UI Bug,Customer reported problem with ui bug functionality,2024-07-08 00:00:00,2024-07-21 00:00:00,Resolved,Resolved successfully
790,TKT-000790,Integration,Third Party,Customer reported problem with third party functionality,2024-01-27 00:00:00,2025-01-28 00:00:00,Processing,Duplicate ticket
791,TKT-000791,General Inquiry,Training,Request for training support and guidance,2024-07-07 00:00:00,2025-01-21 00:00:00,Rejected,Duplicate ticket
792,TKT-000792,General Inquiry,Service Query,Customer reported problem with service query functionality,2024-08-19 00:00:00,2024-09-04 00:00:00,Rejected,In progress
793,TKT-000793,Feature Request,API,Customer reported problem with api functionality,2024-07-26 00:00:00,2025-08-17 00:00:00,Raised,Awaiting customer response
794,TKT-000794,General Inquiry,Training,Unable to access training features properly,2025-05-16 00:00:00,2025-08-12 00:00:00,Resolved,Duplicate ticket
795,TKT-000795,Bug Report,Security Bug,System error related to security bug component,2024-02-12 00:00:00,2025-03-07 00:00:00,Resolved,Closed as per customer request
796,TKT-000796,Integration,API Error,Unable to access api error features properly,2024-04-21 00:00:00,2024-12-08 00:00:00,Rejected,In progress
797,TKT-000797,Bug Report,Security Bug,Issue with security bug requiring immediate attention,2025-07-25 00:00:00,2025-08-18 00:00:00,Processing,Resolved successfully
798,TKT-000798,Feature Request,API,System error related to api component,2024-11-07 00:00:00,2025-04-02 00:00:00,Rejected,Escalated to technical team
799,TKT-000799,Payment Issue,Duplicate Charge,Unable to access duplicate charge features properly,2024-02-25 00:00:00,2025-08-07 00:00:00,Raised,Duplicate ticket
800,TKT-000800,Security,Unauthorized Access,Unable to access unauthorized access features properly,2024-04-25 00:00:00,2024-07-26 00:00:00,Raised,Closed as per customer request
801,TKT-000801,Payment Issue,Duplicate Charge,System error related to duplicate charge component,2024-01-26 00:00:00,2024-07-27 00:00:00,Rejected,Resolved successfully
802,TKT-000802,Security,Unauthorized Access,Request for unauthorized access support and guidance,2024-11-27 00:00:00,2025-02-18 00:00:00,Processing,Awaiting customer response
803,TKT-000803,Billing,Pricing Query,Request for pricing query support and guidance,2024-03-28 00:00:00,2025-04-25 00:00:00,Raised,Closed as per customer request
804,TKT-000804,Performance,Memory Issue,Issue with memory issue requiring immediate attention,2024-06-23 00:00:00,2024-12-11 00:00:00,Raised,Escalated to technical team
805,TKT-000805,General Inquiry,Service Query,Issue with service query requiring immediate attention,2025-03-05 00:00:00,2025-05-22 00:00:00,Resolved,Duplicate ticket
806,TKT-000806,Feature Request,Enhancement,Issue with enhancement requiring immediate attention,2024-05-14 00:00:00,2024-08-25 00:00:00,Processing,Pending review
807,TKT-000807,Technical Support,Configuration,System error related to configuration component,2025-05-25 00:00:00,2025-08-02 00:00:00,Processing,Duplicate ticket
808,TKT-000808,Bug Report,Functional Bug,Unable to access functional bug features properly,2025-05-02 00:00:00,2025-08-26 00:00:00,Rejected,Duplicate ticket
809,TKT-000809,Billing,Invoice Issue,Customer reported problem with invoice issue functionality,2025-07-14 00:00:00,2025-07-31 00:00:00,Raised,In progress
810,TKT-000810,General Inquiry,Service Query,Issue with service query requiring immediate attention,2024-12-23 00:00:00,2025-01-10 00:00:00,Raised,In progress
811,TKT-000811,Integration,Data Sync,Request for data sync support and guidance,2024-03-30 00:00:00,2024-05-19 00:00:00,Processing,Closed as per customer request
812,TKT-000812,General Inquiry,Service Query,Request for service query support and guidance,2025-09-01 00:00:00,2025-09-10 00:00:00,Raised,Duplicate ticket
813,TKT-000813,Integration,Data Sync,Issue with data sync requiring immediate attention,2024-04-05 00:00:00,2025-02-05 00:00:00,Resolved,Additional information required
814,TKT-000814,Payment Issue,Card Declined,System error related to card declined component,2025-07-17 00:00:00,2025-07-21 00:00:00,Resolved,Duplicate ticket
815,TKT-000815,General Inquiry,Product Info,Request for product info support and guidance,2024-12-03 00:00:00,2025-08-29 00:00:00,Rejected,Invalid request
816,TKT-000816,Bug Report,Functional Bug,Unable to access functional bug features properly,2024-02-29 00:00:00,2024-06-19 00:00:00,Processing,Duplicate ticket
817,TKT-000817,Integration,Data Sync,System error related to data sync component,2024-11-20 00:00:00,2025-04-01 00:00:00,Resolved,Escalated to technical team
818,TKT-000818,Integration,Webhook,Unable to access webhook features properly,2025-05-24 00:00:00,2025-07-26 00:00:00,Raised,Resolved successfully
819,TKT-000819,Feature Request,Enhancement,Issue with enhancement requiring immediate attention,2024-05-01 00:00:00,2024-05-13 00:00:00,Rejected,Awaiting customer response
820,TKT-000820,Bug Report,Security Bug,System error related to security bug component,2024-02-16 00:00:00,2025-01-22 00:00:00,Resolved,Invalid request
821,TKT-000821,Bug Report,UI Bug,Customer reported problem with ui bug functionality,2024-10-15 00:00:00,2025-02-22 00:00:00,Processing,Pending review
822,TKT-000822,Feature Request,Integration,Issue with integration requiring immediate attention,2024-04-26 00:00:00,2025-04-12 00:00:00,Resolved,Additional information required
823,TKT-000823,Payment Issue,Card Declined,Customer reported problem with card declined functionality,2024-07-17 00:00:00,2025-01-02 00:00:00,Resolved,Duplicate ticket
824,TKT-000824,Security,Unauthorized Access,Customer reported problem with unauthorized access functionality,2025-05-08 00:00:00,2025-06-16 00:00:00,Rejected,Invalid request
825,TKT-000825,Account Issue,Access Rights,System error related to access rights component,2024-02-27 00:00:00,2025-08-13 00:00:00,Resolved,Additional information required
826,TKT-000826,Performance,Slow Response,Customer reported problem with slow response functionality,2025-08-14 00:00:00,2025-09-04 00:00:00,Resolved,Additional information required
827,TKT-000827,Billing,Payment Failed,Request for payment failed support and guidance,2024-02-01 00:00:00,2025-01-13 00:00:00,Rejected,Invalid request
828,TKT-000828,General Inquiry,Training,Customer reported problem with training functionality,2025-09-01 00:00:00,2025-09-02 00:00:00,Resolved,Additional information required
